Date,aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind gust,wind speed,wind-gust,wind-speed
12/02/2020,,0.3,,,17.0,3.0,57.0,129.0,,4.0,,,,,
12/03/2020,,0.3,19.5,85.5,12.8,5.3,40.0,88.0,1012.0,4.0,23.0,,2.0,,
12/04/2020,,3.0,15.5,79.5,3.0,9.8,17.0,48.0,1019.0,5.0,19.0,,,,2.3
12/05/2020,,0.3,23.0,76.0,3.7,9.0,24.0,38.0,1010.0,6.0,27.0,,,8.7,2.8
12/06/2020,,3.0,23.5,68.0,7.8,9.0,31.0,53.0,1002.0,7.0,28.5,,,,3.0
12/07/2020,31.0,0.2,22.5,58.5,7.0,9.4,36.0,52.0,1003.0,2.0,30.5,,,,2.3
12/08/2020,36.0,3.0,26.0,76.5,7.8,6.0,22.0,46.0,1003.5,4.0,30.0,,,,4.1
12/09/2020,18.0,0.3,26.0,79.0,7.0,,20.0,25.0,1008.0,5.0,28.0,,,,2.8
12/10/2020,,0.2,17.0,61.0,10.6,,32.0,99.0,1010.0,7.0,25.0,,,,2.3
12/11/2020,158.0,0.3,12.0,52.5,20.0,4.0,54.0,104.0,1019.0,4.0,22.0,,,,1.2
12/12/2020,176.0,8.0,16.0,70.5,17.0,4.1,37.0,108.0,1014.0,3.0,21.0,,,,2.8
13/01/2020,193.0,0.3,14.5,88.0,11.0,3.0,78.0,159.0,1016.0,5.6,17.0,,1.2,,
13/01/2021,144.0,0.3,2.5,44.0,18.8,4.0,50.0,150.0,1019.0,7.0,14.5,,,,2.0
13/02/2020,,0.4,,,13.3,3.3,37.0,93.0,,3.0,,,,,
13/03/2020,,0.2,22.0,85.5,9.0,11.0,36.0,99.0,1012.0,4.0,24.5,,1.8,,
13/04/2020,,4.0,13.0,79.5,4.0,7.0,23.0,82.0,1020.0,5.0,16.5,,,,1.8
13/05/2020,,0.3,23.5,83.0,2.8,7.4,30.0,57.0,1010.0,6.0,26.0,,,,4.1
13/06/2020,,0.2,24.5,70.0,6.9,7.0,28.0,41.0,1001.0,7.0,31.0,,,,3.8
13/07/2020,23.0,0.2,23.5,62.0,8.7,9.4,33.0,62.0,1004.5,2.0,31.5,,,,3.0
13/08/2020,24.0,0.3,24.0,83.0,6.9,4.5,15.0,24.0,1006.0,4.0,27.0,,,,3.0
13/09/2020,18.0,0.2,24.5,81.0,5.0,,16.0,22.0,1010.0,4.0,28.0,,,,2.3
13/10/2020,104.0,0.2,17.0,54.0,11.0,,36.0,91.0,1009.0,7.0,27.0,,,,3.0
13/11/2020,157.0,0.4,11.5,53.0,19.0,3.0,46.0,93.0,1018.0,5.0,22.0,,,,1.8
13/12/2020,182.0,7.0,19.0,83.0,13.3,3.7,35.0,80.0,1011.0,2.0,23.0,,,,2.8
14/01/2020,253.0,0.5,17.0,88.0,18.0,3.0,93.0,182.0,1014.5,5.6,18.5,,1.2,,
14/01/2021,152.0,0.3,6.0,56.0,20.2,4.0,57.0,162.0,1017.0,8.2,15.5,,,,2.0
14/02/2020,,0.3,,,10.1,8.0,29.0,59.0,,3.0,,,,,
14/03/2020,,4.0,17.0,73.0,9.2,5.0,35.0,84.0,1016.0,4.0,22.0,,2.5,,
14/04/2020,,3.0,13.0,64.0,4.0,11.4,28.0,65.0,1017.0,5.0,19.5,,,,1.8
14/05/2020,,0.3,22.0,72.0,2.8,7.4,25.0,46.0,1007.5,6.0,27.5,,,,3.0
14/06/2020,,0.2,25.0,83.0,7.8,6.0,29.0,54.0,1004.0,7.0,28.0,,,,2.8
14/07/2020,46.0,2.0,23.5,66.0,10.0,14.0,30.0,47.0,1006.5,2.0,31.0,,,,2.0
14/08/2020,30.0,0.3,24.0,85.5,4.6,5.0,14.0,29.0,1006.0,3.1,26.5,,,,3.3
14/09/2020,16.0,0.4,23.5,78.0,6.4,,18.0,26.0,1009.0,5.0,27.0,,,,2.0
14/10/2020,64.0,0.2,20.0,83.0,6.0,,14.0,38.0,1007.0,6.0,23.0,,,,4.6
14/11/2020,136.0,0.2,10.5,43.5,17.0,6.1,35.0,107.0,1017.0,4.0,24.0,,,,2.0
14/12/2020,181.0,7.0,19.0,69.0,11.0,3.0,24.0,70.0,1014.0,1.6,22.5,,,,2.3
15/01/2020,,0.2,19.0,80.5,8.0,5.0,35.0,82.0,1013.0,3.0,22.5,,4.6,,
15/01/2021,175.0,7.0,12.0,69.5,21.0,2.0,61.0,163.0,1015.5,5.1,17.0,,,,1.5
15/02/2020,,0.3,,,11.0,7.0,40.0,81.0,,3.0,,,,,
15/03/2020,,0.2,16.0,77.0,11.0,4.5,51.0,132.0,1017.0,5.0,20.0,,1.8,,
15/04/2020,,0.2,16.0,73.0,4.6,12.6,28.0,94.0,1014.5,5.0,22.0,,,,2.5
15/05/2020,,0.2,25.0,78.0,2.0,12.0,27.0,39.0,1004.0,6.0,28.5,,,,4.1
15/06/2020,,0.2,24.5,81.0,9.6,5.7,23.0,50.0,1006.0,4.1,28.5,,,,2.8
15/07/2020,30.0,2.0,24.0,68.0,5.5,11.4,28.0,42.0,1004.0,2.0,31.5,,,,3.3
15/08/2020,59.0,0.2,24.0,85.5,5.1,6.0,16.0,27.0,1005.0,4.0,26.5,,,,3.3
15/09/2020,18.0,0.3,25.0,76.5,5.0,,19.0,35.0,1007.0,5.0,29.0,,,,3.0
15/10/2020,14.0,3.0,19.5,80.5,5.5,,8.0,25.0,1010.5,6.0,23.0,,,,3.6
15/11/2020,87.0,3.0,18.0,93.0,8.7,6.0,25.0,69.0,1018.5,1.0,19.0,,,,2.8
15/12/2020,56.0,6.0,9.0,71.0,6.9,2.1,13.0,38.0,1021.5,2.0,14.0,,,,4.8
16/01/2020,,0.3,19.0,78.0,9.6,3.0,43.0,78.0,1014.5,4.0,22.0,,4.3,,
16/01/2021,186.0,0.3,12.5,72.0,17.0,2.0,61.0,153.0,1015.5,7.1,18.0,,,,1.2
16/02/2020,,4.0,,,7.8,7.0,23.0,63.0,,4.0,,,,,
16/03/2020,,0.4,19.0,93.0,13.0,4.0,59.0,143.0,1015.5,6.0,20.0,,1.2,,
16/04/2020,,3.0,20.5,83.0,3.7,9.0,26.0,72.0,1011.0,5.0,23.0,,,,2.8
16/05/2020,,0.2,25.0,79.0,1.9,8.2,29.0,42.0,1004.0,6.0,28.5,,,,4.1
16/06/2020,,0.2,24.5,74.0,6.9,7.0,27.0,34.0,1004.0,1.0,29.0,,,,3.6
16/07/2020,19.0,2.0,24.5,68.0,5.0,11.0,25.0,44.0,1004.0,2.0,31.0,,,,4.1
16/08/2020,43.0,0.2,24.0,85.5,6.0,6.0,23.0,65.0,1005.0,4.0,26.0,,,,2.0
16/09/2020,16.0,0.3,25.0,76.0,6.9,,22.0,34.0,1006.0,5.0,28.5,,,,3.0
16/10/2020,31.0,3.0,19.5,67.0,5.1,,11.0,33.0,1012.5,6.0,25.0,,,10.2,4.3
16/11/2020,100.0,4.0,19.0,94.0,7.4,3.0,23.0,55.0,1016.5,1.0,20.5,,,,1.8
16/12/2020,57.0,6.0,7.0,60.0,5.5,2.9,13.0,36.0,1024.0,2.0,13.0,,,,4.1
17/01/2020,,4.0,12.0,74.5,8.0,3.7,33.0,85.0,1019.0,4.0,16.0,,5.4,,
17/01/2021,119.0,0.2,9.5,58.0,8.3,3.3,45.0,134.0,1026.0,4.0,16.0,,,,2.8
17/02/2020,,0.2,,,11.0,5.7,37.0,91.0,,4.0,,,,,
