aqi,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind_gust_combined,wind_speed_combined
82.26940639269407,0.2,23.0,68.0,9.6,9.0,53.0,70.0,1003.0,7.1,30.0,10.984000000000002,2.3
24.0,0.2,22.5,53.5,6.4,9.4,28.0,36.0,1000.0,2.0,33.0,8.2,3.0
55.0,21.0,25.0,76.5,5.0,6.0,19.0,36.0,1003.0,3.0,30.0,10.984000000000002,3.0
14.0,0.3,24.0,79.0,9.2,6.215806451612903,23.0,53.0,1008.0,5.0,28.0,10.984000000000002,3.0
82.26940639269407,3.0,15.5,60.0,4.6,6.215806451612903,14.0,29.0,1016.0,6.0,23.0,10.984000000000002,4.3
95.0,0.2,12.0,49.0,14.0,6.0,30.0,87.0,1019.0,3.1,23.0,10.984000000000002,2.5
171.0,10.0,12.0,64.0,21.1,4.1,48.0,155.0,1017.5,3.1,19.5,10.984000000000002,2.0
110.0,0.3,18.5,73.5,9.2,3.3,41.0,74.0,1013.0,3.0,23.0,10.984000000000002,4.1
59.0,3.0,-3.0,37.0,9.0,4.9,22.0,94.0,1024.5,3.0,11.0,10.984000000000002,2.3
82.26940639269407,0.3,18.76287262872629,72.48915989159892,8.769354838709678,2.0,41.0,94.0,1011.5983739837399,4.0,24.056910569105693,10.984000000000002,2.8048780487804876
82.26940639269407,0.2,15.0,58.0,11.0,7.8,49.0,97.0,1012.5,4.0,24.0,10.984000000000002,3.0
82.26940639269407,4.0,19.0,78.0,6.4,8.0,37.0,86.0,1015.0,5.0,24.0,10.984000000000002,2.3
82.26940639269407,0.2,25.0,74.0,2.8,11.0,39.0,60.0,1007.0,5.0,29.5,10.984000000000002,2.8
82.26940639269407,0.2,24.5,74.5,8.3,11.0,39.0,65.0,1005.0,7.0,29.5,10.984000000000002,3.0
23.0,0.3,22.0,50.5,6.4,8.0,36.0,37.0,1000.0,2.0,33.0,10.984000000000002,2.5
